iter	Passed	Remaining
0	71	71070
1	75	37814
2	80	26651
3	84	20998
4	88	17661
5	92	15403
6	97	13777
7	101	12603
8	106	11671
9	110	10921
10	114	10314
11	119	9828
12	123	9394
13	128	9034
14	132	8707
15	136	8414
16	141	8173
17	145	7936
18	149	7734
19	153	7540
20	157	7360
21	162	7211
22	166	7077
23	170	6950
24	175	6833
25	179	6714
26	183	6607
27	187	6515
28	191	6417
29	195	6333
30	199	6247
31	203	6168
32	208	6100
33	212	6026
34	216	5966
35	220	5901
36	224	5842
37	228	5787
38	232	5737
39	237	5691
40	241	5644
41	245	5605
42	250	5565
43	253	5517
44	258	5480
45	262	5444
46	266	5409
47	271	5374
48	275	5338
49	279	5306
50	283	5277
51	287	5244
52	292	5219
53	296	5196
54	300	5164
55	304	5140
56	309	5114
57	313	5094
58	319	5088
59	323	5068
60	327	5043
61	332	5022
62	336	5002
63	340	4981
64	344	4959
65	348	4936
66	353	4920
67	357	4903
68	361	4879
69	365	4859
70	369	4839
71	374	4823
72	378	4805
73	382	4785
74	386	4769
75	390	4750
76	395	4736
77	399	4719
78	403	4702
79	407	4690
80	412	4676
81	416	4660
82	420	4647
83	424	4630
84	428	4616
85	431	4587
86	435	4573
87	440	4560
88	444	4546
89	448	4537
90	453	4526
91	457	4512
92	461	4502
93	465	4489
94	470	4485
95	476	4486
96	481	4482
97	486	4476
98	491	4475
99	496	4465
100	499	4445
101	503	4432
102	507	4420
103	511	4405
104	515	4394
105	519	4380
106	523	4369
107	527	4357
108	531	4345
109	535	4334
110	539	4321
111	543	4310
112	547	4297
113	551	4288
114	555	4278
115	559	4266
116	564	4258
117	568	4251
118	573	4243
119	577	4238
120	581	4227
121	586	4218
122	590	4210
123	594	4199
124	599	4194
125	603	4184
126	607	4175
127	611	4165
128	615	4155
129	619	4145
130	623	4137
131	627	4128
132	632	4120
133	636	4110
134	640	4102
135	644	4093
136	648	4083
137	652	4074
138	656	4065
139	660	4057
140	664	4047
141	668	4040
142	672	4032
143	676	4024
144	680	4013
145	684	4004
146	688	3996
147	692	3988
148	696	3980
149	701	3972
150	705	3965
151	709	3958
152	713	3950
153	717	3942
154	721	3934
155	725	3926
156	729	3918
157	733	3910
158	737	3902
159	741	3894
160	745	3885
161	749	3879
162	753	3871
163	757	3863
164	762	3856
165	766	3848
166	770	3842
167	774	3837
168	778	3829
169	783	3823
170	787	3816
171	791	3809
172	795	3802
173	799	3795
174	803	3789
175	808	3785
176	812	3778
177	816	3772
178	820	3765
179	825	3758
180	829	3753
181	833	3745
182	837	3740
183	841	3733
184	845	3726
185	850	3719
186	853	3712
187	858	3706
188	862	3699
189	866	3693
190	870	3687
191	874	3680
192	878	3673
193	882	3667
194	886	3660
195	890	3654
196	894	3646
197	898	3640
198	902	3632
199	906	3626
200	910	3620
201	914	3613
202	918	3607
203	922	3601
204	927	3595
205	931	3588
206	935	3582
207	939	3576
208	943	3570
209	947	3564
210	951	3558
211	955	3551
212	959	3545
213	963	3539
214	967	3533
215	972	3528
216	976	3524
217	981	3519
218	985	3512
219	989	3508
220	994	3505
221	998	3498
222	1002	3494
223	1006	3488
224	1011	3482
225	1015	3477
226	1019	3472
227	1023	3466
228	1027	3460
229	1031	3454
230	1036	3449
231	1040	3443
232	1044	3437
233	1048	3431
234	1052	3425
235	1056	3419
236	1060	3413
237	1064	3409
238	1069	3405
239	1073	3400
240	1078	3396
241	1083	3393
242	1087	3389
243	1092	3384
244	1097	3380
245	1101	3376
246	1105	3371
247	1109	3365
248	1113	3359
249	1118	3354
250	1122	3350
251	1126	3344
252	1130	3338
